sample_ID,weight_g,volume_mL,frag_ID,SA_cm2
S1,1,350,S1,1
S2,1,350,S2,1
S3,1,350,S3,1
S4,1,350,S4,1
S5,1,350,S5,1
S6,1,350,S6,1
S7,1,350,S7,1
S8,1,350,S8,1
S9,1,350,S9,1
BLANK1,NA,350,BLANK1,1
