sample_ID,Intercept,umol.L.sec,Temp.C,run_block,light_dark
S1.1_RUN4,320.5778682101315,-1.324915572232824e-4,24.19655128205128,K_RUN4,DARK
S1.2_RUN4,260.81415509764304,2.141376024395116e-5,23.96151282051282,K_RUN4,DARK
S1.3_RUN4,279.2884951785712,-1.4141369047617662e-4,24.004435897435897,K_RUN4,DARK
S1.4_RUN4,271.07398707042245,4.620824949699037e-5,24.192435897435896,K_RUN4,DARK
S2.1_RUN4,256.1053315639099,-1.2360902255650533e-5,23.894371794871795,K_RUN4,DARK
S2.2_RUN4,235.5931492501322,6.611792702274033e-5,24.090205128205127,K_RUN4,DARK
S2.3_RUN4,371.88791655258836,5.30141949701844e-4,24.073423076923078,K_RUN4,DARK
S2.4_RUN4,293.7297968816329,2.1889591836732702e-4,24.156564102564104,K_RUN4,DARK
S1.1_RUN4,322.9397446693658,-5.269149797570882e-4,24.413435897435896,K_RUN4,LIGHT
S1.2_RUN4,261.02298801339674,9.00941804537828e-5,24.28501282051282,K_RUN4,LIGHT
S1.3_RUN4,277.7666060187211,6.541142507216871e-5,24.28480769230769,K_RUN4,LIGHT
S1.4_RUN4,271.9733251466273,-1.0425219941319397e-5,24.412423076923076,K_RUN4,LIGHT
S2.1_RUN4,255.92371162902057,-2.3165456141744238e-5,24.16902564102564,K_RUN4,LIGHT
S2.2_RUN4,236.09015293916607,-4.988995215311124e-5,24.39502564102564,K_RUN4,LIGHT
S2.3_RUN4,364.97047000000015,0.0019266999999999798,24.279102564102566,K_RUN4,LIGHT
S2.4_RUN4,299.33970935960593,-7.215024630541891e-4,24.366653846153845,K_RUN4,LIGHT
