start_time,stop_time,date,site_ID,sample_ID,FileID_csv,light_dark,run_block,chamber_channel,notes,weight_g,volume_mL,chla,chamber_type
2026-07-31T10:33:00Z,2026-07-31T12:30:00Z,2026-07-31,S1,S1.3_RUN1,S1.3_RUN1_O2.csv,DARK,K_RUN1,1,NA,1,350,1,BOD
2026-07-31T10:33:00Z,2026-07-31T12:30:00Z,2026-07-31,S3,S3.2_RUN1,S3.2_RUN1_O2.csv,DARK,K_RUN1,2,NA,1,350,1,BOD
2026-07-31T10:33:00Z,2026-07-31T12:30:00Z,2026-07-31,S2,S2.3_RUN1,S2.3_RUN1_O2.csv,DARK,K_RUN1,3,NA,1,350,1,BOD
2026-07-31T10:33:00Z,2026-07-31T12:30:00Z,2026-07-31,S3,S3.1_RUN1,S3.1_RUN1_O2.csv,DARK,K_RUN1,5,NA,1,350,1,BOD
2026-07-31T10:33:00Z,2026-07-31T12:30:00Z,2026-07-31,S1,S1.2_RUN1,S1.2_RUN1_O2.csv,DARK,K_RUN1,6,NA,1,350,1,BOD
2026-07-31T10:33:00Z,2026-07-31T12:30:00Z,2026-07-31,S3,S3.3_RUN1,S3.3_RUN1_O2.csv,DARK,K_RUN1,7,NA,1,350,1,BOD
2026-07-31T10:33:00Z,2026-07-31T12:30:00Z,2026-07-31,S2,S2.1_RUN1,S2.1_RUN1_O2.csv,DARK,K_RUN1,8,NA,1,350,1,BOD
2026-07-31T10:33:00Z,2026-07-31T12:30:00Z,2026-07-31,S1,S1.1_RUN1,S1.1_RUN1_O2.csv,DARK,K_RUN1,9,NA,1,350,1,BOD
2026-07-31T10:33:00Z,2026-07-31T12:30:00Z,2026-07-31,S2,S2.2_RUN1,S2.2_RUN1_O2.csv,DARK,K_RUN1,10,NA,1,350,1,BOD
2026-07-31T12:30:00Z,2026-07-31T16:00:00Z,2026-07-31,S1,S1.3_RUN1,S1.3_RUN1_O2.csv,LIGHT,K_RUN1,1,NA,1,350,1,BOD
